count,name,topic,max_sentiment,min_sentiment,id,min_sentiment_word
2,swift,apple,2,0,730770629411004416,we
1,free,apple,1,0,730770645756325888,dkdesign
-1,hit,apple,0,-1,730770683567820800,no
1,smart,apple,1,0,730770700840108032,rt
4,win,apple,4,0,730770802442801152,prettydntdie007
2,top,apple,2,0,730770858537406464,rt
2,hero,apple,2,0,730770932260818944,a
4,win,apple,4,0,730770935930859520,kogarah
2,top,apple,2,0,730771044760489984,billion
2,like,apple,2,-1,730771077526368256,no
1,reach,apple,1,0,730771118554894336,me
2,like,apple,2,0,730771183872905216,and
2,swift,apple,2,-1,730771189682085892,no
2,swift,apple,2,0,730771209026187264,playlist
3,best,apple,3,0,730771467881844736,lg
2,top,apple,2,0,730771487465078784,googl
2,support,apple,2,0,730771615244374016,
2,support,apple,2,0,730771615261171712,softwar
1,smart,apple,1,0,730771630365020160,rt
-2,leader,apple,0,-2,730771634785812481,conflict
2,thank,apple,2,0,730771644340391936,me
2,support,apple,2,0,730771770559455233,softwar
1,free,apple,1,0,730771791988154368,rt
1,smart,apple,1,0,730771974042030080,steel
4,win,apple,4,0,730771974801215489,rt
3,charm,apple,3,0,730771981226901504,8221
3,delight,apple,3,0,730772119882108929,
-2,batería,apple,0,-2,730772249058283521,war
1,share,apple,1,0,730772315059822592,everywher
3,love,apple,3,0,730772331262513153,rt
1,fit,apple,1,0,730772386182799360,httpstcoxdjfaargug
2,ha,apple,2,0,730772898655277056,a
1,jewel,apple,1,0,730773003726782464,ipad
2,top,apple,2,0,730773168231583744,httpstcobilj7vfowi
1,allow,apple,1,0,730773181191987201,rt
3,best,apple,3,0,730773361370927108,case
2,cute,apple,2,0,730773373446463488,instagram
2,worth,apple,2,0,730773496167579652,your
