count,name,topic,max_sentiment,min_sentiment,id,min_sentiment_word
3,best,datascience,3,0,730768160807391232,rt
4,fun,datascience,4,0,730768484490199040,rt
1,growing,datascience,1,0,730768581764521985,rt
1,interest,datascience,1,0,730768698642993152,rt
2,ha,datascience,2,0,730768787457359872,do
-1,on,datascience,0,-1,730769028629680128,no
2,success,datascience,2,0,730769590523924480,rt
1,big,datascience,1,0,730769788184735744,rt
1,prospect,datascience,1,0,730770128695119872,and
2,top,datascience,2,0,730770208659517440,rt
3,good,datascience,3,0,730771383865753602,breakdown
1,spark,datascience,1,0,730771752868057088,about
2,top,datascience,2,0,730772113796145153,rt
1,smart,datascience,1,0,730772122763726848,rt
3,best,datascience,3,0,730782096566984704,
2,help,datascience,2,0,730782123854942209,httpstcodfwplk8grh
-1,use,datascience,0,-1,730782244122599425,avoid
2,clean,datascience,2,0,730782555532865536,rt
3,breakthrough,datascience,3,0,730783500723441664,a
